# Time-averaged data for fix energy_average
# TimeStep v_PotentialEnergy
11000 -6.30888
12000 -6.274
13000 -6.26259
14000 -6.27876
15000 -6.28266
16000 -6.2737
17000 -6.27582
18000 -6.28045
19000 -6.27776
20000 -6.28061
21000 -6.28247
22000 -6.28171
23000 -6.28678
24000 -6.28641
25000 -6.28701
26000 -6.29226
27000 -6.29301
28000 -6.29274
29000 -6.2951
30000 -6.29492
31000 -6.2946
32000 -6.29605
33000 -6.29633
34000 -6.29724
35000 -6.29875
36000 -6.29775
37000 -6.29826
38000 -6.30111
39000 -6.30165
40000 -6.30099
41000 -6.30169
42000 -6.30176
43000 -6.30121
44000 -6.302
45000 -6.30147
46000 -6.30077
47000 -6.30162
48000 -6.30052
49000 -6.30048
50000 -6.30089
