# Time-averaged data for fix average
# TimeStep v_Pressure
11000 2.92262
12000 3.12436
13000 3.19086
14000 3.1045
15000 3.08071
16000 3.1366
17000 3.12159
18000 3.09405
19000 3.11058
20000 3.0954
21000 3.08381
22000 3.08872
23000 3.05845
24000 3.05969
25000 3.05582
26000 3.02513
27000 3.02113
28000 3.02313
29000 3.00875
30000 3.01021
31000 3.01248
32000 3.00401
33000 3.00261
34000 2.9979
35000 2.98927
36000 2.99481
37000 2.99164
38000 2.97508
39000 2.97229
40000 2.97653
41000 2.97207
42000 2.97192
43000 2.97526
44000 2.97054
45000 2.9736
46000 2.97742
47000 2.9722
48000 2.97858
49000 2.97891
50000 2.97614
